epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,532.719,0.92239,0.48638,1.04731,0.95726,0.95049,0.98626,0.77254,0.87808,0.39498,0.99848,0.0005941,0.0005941,0.0005941
43,544.406,0.88523,0.46448,1.03497,0.96558,0.95654,0.98891,0.7568,0.98806,0.39255,1.03776,0.0005842,0.0005842,0.0005842
44,555.79,0.90073,0.46119,1.04094,0.95743,0.96625,0.98991,0.77236,0.916,0.37668,1.00922,0.0005743,0.0005743,0.0005743
45,567.333,0.92004,0.46646,1.05137,0.93413,0.98023,0.98992,0.76882,0.87289,0.37384,0.99448,0.0005644,0.0005644,0.0005644
46,578.825,0.8982,0.46848,1.04488,0.95193,0.96138,0.9888,0.76703,0.94999,0.38871,1.01809,0.0005545,0.0005545,0.0005545
47,590.543,0.9022,0.46751,1.03867,0.96451,0.95302,0.98846,0.74889,0.98046,0.40353,1.03199,0.0005446,0.0005446,0.0005446
48,602.204,0.90652,0.46356,1.04525,0.94169,0.9749,0.98875,0.76687,0.93617,0.38448,1.01128,0.0005347,0.0005347,0.0005347
49,613.584,0.88288,0.44688,1.03796,0.93586,0.97662,0.98938,0.77216,0.91012,0.37687,1.01431,0.0005248,0.0005248,0.0005248
50,625.1,0.8685,0.45655,1.02446,0.94151,0.97507,0.98856,0.76256,0.94704,0.38379,1.01998,0.0005149,0.0005149,0.0005149
51,636.694,0.87725,0.44806,1.02369,0.94783,0.97018,0.98769,0.76838,0.90826,0.38008,1.00954,0.000505,0.000505,0.000505
52,648.446,0.89942,0.46824,1.04145,0.94469,0.97028,0.98991,0.77781,0.91616,0.37124,1.01141,0.0004951,0.0004951,0.0004951
53,660.02,0.88887,0.45187,1.03533,0.96503,0.94645,0.98876,0.77686,0.87542,0.36871,1.00388,0.0004852,0.0004852,0.0004852
54,671.462,0.90435,0.45305,1.04051,0.96016,0.95749,0.98865,0.78017,0.87965,0.37762,1.00014,0.0004753,0.0004753,0.0004753
55,683.122,0.86331,0.43657,1.02149,0.95759,0.96247,0.98947,0.78189,0.90534,0.374,1.00797,0.0004654,0.0004654,0.0004654
56,694.822,0.87031,0.43282,1.03107,0.96214,0.9543,0.98818,0.78196,0.87572,0.37323,1.00005,0.0004555,0.0004555,0.0004555
57,706.573,0.88942,0.446,1.03514,0.93932,0.97297,0.98976,0.7668,0.9507,0.38032,1.02459,0.0004456,0.0004456,0.0004456
58,718.034,0.8628,0.4279,1.02473,0.96974,0.95684,0.98588,0.77136,0.88733,0.37943,1.00975,0.0004357,0.0004357,0.0004357
59,729.656,0.86867,0.44139,1.03607,0.95683,0.96322,0.98972,0.77577,0.87669,0.37441,0.99367,0.0004258,0.0004258,0.0004258
60,741.315,0.87828,0.4521,1.03296,0.9465,0.96062,0.98959,0.76455,0.93786,0.37959,1.01678,0.0004159,0.0004159,0.0004159
61,752.921,0.86679,0.4518,1.03887,0.94446,0.96764,0.98769,0.77082,0.89666,0.37931,1.00998,0.000406,0.000406,0.000406
